OBJECTID,response_id,response_date,q3_1_respondee_type_business_ow,q3_2_respondee_type_resident,q3_3_respondee_type_worker,q3_4_respondee_type_student,q3_5_respondee_type_visitor,q3_6_respondee_type_property_ow,q4_1_business_postcode,q4_2_business_type,q4_3_business_overview,q5_ATSI_business,q6_1_pre_covid_full_time_staff,q6_2_pre_covid_part_time_staff,q6_3_pre_covid_casual_staff,q6_4_pre_covid_contract_staff,q7_covid_impact_on_employment_l,q8_1_post_covid_full_time_staff,q8_2_post_covid_part_time_staff,q8_3_post_covid_casual_staff,q8_4_post_covid_contract_staff,q9_1_covid_impact_on_business_r,q9_2_covid_impact_on_business_i,q9_3_covid_impact_on_business_r,q9_4_covid_impact_on_business_i,q9_5_covid_impact_on_business_g,q9_6_covid_impact_on_business_d,q10_business_still_operating,q11_1_reason_for_business_closi,q11_2_reason_for_business_closi,q11_3_reason_for_business_closi,q11_4_reason_for_business_closi,q11_5_reason_for_business_closi,q11_6_reason_for_business_closi,q11_7_reason_for_business_closi,q11_8_reason_for_business_closi,q11_9_reason_for_business_closi,q11_10_reason_for_business_clos,q11_11_reason_for_business_clos,q11_12_reason_for_business_clos,q12_what_could_have_helped_busi,q13_how_long_can_business_remai,q14_1_change_made_to_business_e,q14_2_change_made_to_business_p,q14_3_change_made_to_business_d,q15_changes_made_to_business_ot,q16_collaborating_with_other_bu,q17_1_understanding_of_federal_,q17_2_understanding_of_state_go,q17_3_understanding_of_local_go,q18_not_seeking_support,q18_2_seeking_rent_relief_from_,q18_3_seeking_debt_relief_from_,q18_4_seeking_payroll_tax_relie,q18_5_seeking_jobkeeper_benefit,q18_6_seeking_tax_relief_from_f,q18_7_seeking_small_business_gr,q18_8_seeking_grant_support_fro,q18_9_seeking_unsecured_busines,q18_10_seeking_support_other,q19_1_undefined,q19_2_seeking_rent_relief_from_,q19_3_seeking_debt_relief_from_,q19_4_seeking_payroll_tax_relie,q19_5_seeking_jobkeeper_benefit,q19_6_seeking_tax_relief_from_f,q19_7_seeking_small_business_gr,q19_8_seeking_grant_support_fro,q19_9_seeking_unsecured_busines,q19_10_seeking_support_other_st,q20_1_potential_support_from_ci,q20_2_potential_support_from_ci,q20_3_potential_support_from_ci,q20_4_potential_support_from_ci,q20_5_potential_support_from_ci,q20_6_potential_support_from_ci,q20_7_potential_support_from_ci,q20_8_potential_support_from_ci,q20_9_potential_support_from_ci,q20_10_potential_support_from_c,q20_11_potential_support_from_c,q20_12_potential_support_from_c,q21_1_business_change_within_18,q21_2_business_change_within_18,q21_3_business_change_within_18,q21_4_business_change_within_18,q21_5_business_change_within_18,q21_6_business_change_within_18,q21_7_business_change_within_18,q21_8_business_change_within_18,q21_9_business_change_within_18,q21_10_business_change_within_1,q21_11_business_change_within_1,q21_12_business_change_within_1,q21_13_business_change_within_1,q21_14_business_change_within_1,q21_15_business_change_within_1,q22_business_viable_at_which_st,q23_sector_change_post_restrict,q29_covid_recovery_planning_add,q30_covid_recovery_planning_add,q31_1_covid_recovery_planning_a,q31_2_covid_recovery_planning_a,q31_3_covid_recovery_planning_a,q31_4_covid_recovery_planning_a,q31_5_covid_recovery_planning_a,q31_6_covid_recovery_planning_a,q31_7_covid_recovery_planning_a,q31_8_covid_recovery_planning_a,q31_9_covid_recovery_planning_a,q31_10_covid_recovery_planning_,q32_1_which_activities_would_yo,q32_2_which_activities_would_yo,q32_3_which_activities_would_yo,q32_4_which_activities_would_yo,q32_5_which_activities_would_yo,q32_6_which_activities_would_yo,q32_7_which_activities_would_yo,q32_8_which_activities_would_yo,q32_9_which_activities_would_yo,q32_10_which_activities_would_y,q32_11_which_activities_would_y,q32_12_which_activities_would_y,q32_13_which_activities_would_y,q32_14_which_activities_would_y,q32_15_which_activities_would_y,q32_16_which_activities_would_y,q32_17_which_activities_would_y,q32_18_which_activities_would_y,q32_19_which_activities_would_y,q33_1_are_there_any_positive_th,q33_2_are_there_any_positive_th,q33_3_are_there_any_positive_th,q33_4_are_there_any_positive_th,q33_5_are_there_any_positive_th,q33_6_are_there_any_positive_th,q33_7_are_there_any_positive_th,q34_1_how_soon_do_you_think_you,q34_2_how_soon_do_you_think_you,q34_3_how_soon_do_you_think_you,q34_4_how_soon_do_you_think_you,q34_5_how_soon_do_you_think_you,q34_6_how_soon_do_you_think_you,q34_7_how_soon_do_you_think_you,q34_8_how_soon_do_you_think_you,q34_9_how_soon_do_you_think_you,q34_10_how_soon_do_you_think_yo,q35_1_how_important_is_city_of_,q35_2_how_important_is_city_of_,q35_3_how_important_is_city_of_,q35_4_how_important_is_city_of_,q35_5_how_important_is_city_of_,q35_6_how_important_is_city_of_,q35_7_how_important_is_city_of_,q35_8_how_important_is_city_of_,q37_1_what_concerns_you_most_ab,q37_2_what_concerns_you_most_ab,q37_3_what_concerns_you_most_ab,q37_4_what_concerns_you_most_ab,q37_5_what_concerns_you_most_ab,q37_6_what_concerns_you_most_ab,q37_7_what_concerns_you_most_ab,q37_8_what_concerns_you_most_ab,q37_9_what_concerns_you_most_ab,q37_10_what_concerns_you_most_a,q37_11_what_concerns_you_most_a,q37_12_what_concerns_you_most_a,q37_13_what_concerns_you_most_a,q37_14_what_concerns_you_most_a,q37_15_what_concerns_you_most_a,q37_16_what_concerns_you_most_a,q37_17_what_concerns_you_most_a,q38_1_mostly_positive_changes,q38_2_mostly_negative_changes,q40_1_respondee_age_range,q40_2_respondee_identified_gend,q40_3_respondee_identify_as_a_p,q40_4_respondee_identify_as_abo,q41_respondee_home_postcode_sub,q42_respondee_current_place_of_,q43_respondee_current_place_of_,q44_respondee_speak_a_language_,q45_respondee_languages_spoken_,q48_final_comments
735,785,20/05/2020,No,Yes,Yes,No,No,No,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,"Loss of income / employment,Worrying about the security of my job ,Social isolation and feeling lonely",No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,No,Yes,Yes,Yes,,1-3 months,1-3 months,,,,,,1-3 months,1-3 months,1-3 months,Very important,Very important,Very important,Very important,,Important,Important,,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,,,,30-39,Male,No,No,2016,"Semi-detached, terrace house, townhouse",Paying it off / mortgaged,Yes,Mandarin,
736,786,20/05/2020,Yes,No,No,No,No,No,2016,Incorporated for-profit,coffee shop,No,2,2,,,Yes – I’ve let staff go,1,1,,,High,None / NA,High,None / NA,High,Low,Yes - in a limited or changed way,No,No,No,No,No,No,No,No,No,No,No,,,1-3 months,Not Applicable,Not Applicable,Yes,,,Somewhat,Somewhat,Mostly,,Applied - successful,Applied – unsuccessful,Applied – successful,Applied – successful,Not required,,,,,option-1,,,,,,,,,,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Stage 1: 10 people,,,,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,
737,787,20/05/2020,No,Yes,No,No,No,No,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,"Lack of availability of daily essentials such as food and medicine,Worrying about the security of my job ,Social isolation and feeling lonely ,Worrying about people who are important to me,Not being able to do activities that are important to me,Physical health concerns,Stress caused by living and working in close proximity to others",No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,,Yes,No,Yes,Yes,Yes,Yes,,1-3 months,1-3 months,,,,,,1-3 months,1-3 months,1-3 months,Important,Very important,Very important,Very important,,Somewhat important,Somewhat important,,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,,Hopefully close entire streets to cars and trucks to enable cycling and walking as they have done overseas,Fossil fuel led’economic recovery’ instead of foward thinking on measuring wellbeing on other than GDP and the ‘market’,50-59,Female,No,No,Millers Point,Unit/apartment in a 4+ storey block,Renting,Yes,Italian,Construction noise has been horrendous and expanding allowable construction hours is detrimental to business and residents. This sector must not be allowed to disregard basic human rights in environmental health.
738,788,20/05/2020,No,Yes,No,No,No,No,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,"Not being able to access important services such as doctors, physios, counselling etc ,Social isolation and feeling lonely ,Not being able to do activities that are important to me",No,No,No,No,No,No,No,No,No,,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,,No,Yes,Yes,No,No,No,,1-3 months,4-6 months,,,,,,4-6 months,,,Very important,Very important,Important,Very important,,Important,,,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,,"Covid-19 slowed the ""rat-race"" down and did good to the environment. But this will be very short-lived (NSW Government already priviledging liberal economy over human life)","NSW Government becoming even more authoritarian; increased police powers; reduced local government powers",70-79,Male,No,No,2007,"Semi-detached, terrace house, townhouse",Outright owner,Yes,French,no
739,789,20/05/2020,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,
740,790,20/05/2020,Yes,No,No,No,No,No,2000,Incorporated for-profit,Advertsiing/Digital/Branding,No,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,
741,791,20/05/2020,Yes,Yes,No,No,No,No,2000,Incorporated for-profit,Investment,No,1,,,,No impact,,,,,Some,None / NA,None / NA,None / NA,None / NA,None / NA,Yes - full capacity,No,No,No,No,No,No,No,No,No,No,No,,,Long term,No,No,No,,,Mostly,Mostly,Mostly,Yes,,,,,,,,,,option-1,,,,,,,,,,No,No,No,No,Yes,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Not relevant,,No,,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,
742,792,20/05/2020,Yes,No,No,No,No,No,2021,Other,Medical practice,No,2,4,,8,"I've increased staff hours, but haven't hired more staff",,,,,High,None / NA,None / NA,High,High,High,Yes - full capacity,No,No,No,No,No,No,No,No,No,No,No,,,6+ months,Yes,Yes,Yes,Telehealth,No,Somewhat,Not at all,Not at all,,Applied - awaiting outcome,Not applied – not aware,Applied – successful,Applied – successful,Not applied – not aware,Not applied – not aware,Not applied – not aware,Not required,,option-1,,,,,,,,,,No,Yes,No,No,No,No,No,No,No,No,Yes,,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Not sure,,Yes,"Not being able to access important services such as doctors, physios, counselling etc ,Loss of income / employment,Worrying about the security of my job ,Not being able to do activities that are important to me,Wellbeing and mental health concerns,Discrimination or vilification,Stress caused by living and working in close proximity to others",No,No,No,No,No,No,No,No,No,,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,,No,Yes,No,No,No,No,,Longer,Longer,,,,,,Longer,,Longer,Important,Important,Important,Important,,Important,Important,,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,,,50-59,Male,No,No,2204,Unit/apartment in a 1-3 storey block,Outright owner,No,,
743,793,20/05/2020,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,"Not being able to access important services such as doctors, physios, counselling etc",No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,No,No,No,No,No,,,,,,,,,,,4-6 months,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,
744,794,20/05/2020,No,No,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Loss of income / employment,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,No,No,No,No,No,,4-6 months,1-3 months,,,,,,Longer,Immediately,Immediately,Important,Very important,Somewhat important,Not very important,,Very important,Somewhat important,,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,,"No tourists, no students, no backpackers. The Australian government should start producing their own products",20-29,Male,No,No,2010,Unit/apartment in a 1-3 storey block,Renting,Yes,Spanish,No
745,795,20/05/2020,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,"Lack of availability of daily essentials such as food and medicine,Worrying about people who are important to me,Reduced access to the internet and online services and networks",No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,No,No,No,No,No,,Longer,Longer,,,,,,Immediately,Longer,Immediately,Very important,Very important,Very important,Somewhat important,,Somewhat important,Not very important,,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,,Less air pollution due to drop in vehicles on roads initially. Some people will have less stress because they can work from home and will not have to commute long distances on overcrowded roads or public transport.,"Economic hit to the most vulnerable - high unemployment for young people and people in casual or part-time employment. Economic stress to many people in hardest hit sectors - hospitality, arts/recreation, accommodation, hair/beauty services. Health impacts to most vulnerable - elderly, chronic illness sufferers, some people with mental illness will feel more stress or isolated, some people will avoid their usual health checks and suffer poor health outcomes.",50-59,Female,No,No,2060,Unit/apartment in a 1-3 storey block,Renting,No,,"Please enforce smoking restrictions eg in Martin Place, Pitt Street Mall, light rail and bus stops, entrances to train stations and buildings etc, through education, warnings."
746,796,20/05/2020,No,No,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,
747,797,20/05/2020,No,Yes,Yes,No,No,No,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,"Worrying about people who are important to me,Not being able to do activities that are important to me",No,No,No,No,No,No,No,No,No,,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,,No,Yes,No,No,No,No,,1-3 months,1-3 months,,,,,,Immediately,,,Very important,Very important,Very important,Very important,,Important,Not very important,,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,People more aware that their actions can harm others more people are covering up when they sneeze & cough - not enough but more -,It’s going to lead to increased selfishness the rich holding onto their wealth leading to more poverty more vulnerable people hurt by greed,60-69,Female,No,No,2037,"Semi-detached, terrace house, townhouse",Renting,No,,
748,798,20/05/2020,Yes,No,No,No,No,No,2000,Sole trader,"Remedial Therapist - healthcare, Bowen Therapy, Lymphatic Drainage and Remedial Massage",No,0,0,0,0,"I've reduced staff hours, but haven't let staff go",,,,,High,None / NA,High,None / NA,High,Some,Yes - in a limited or changed way,No,No,No,No,No,No,No,No,No,No,No,,,3-6 months,Not Applicable,Not Applicable,Yes,Limited appointments with gaps to allow for extra disinfecting and no patient contact between visitors. Was closed for a month.,No,Mostly,Somewhat,Not at all,,Applied - successful,Not required,Not applied – not eligible,Applied – successful,Not applied – not eligible,Not applied – not eligible,Not applied – not aware,Other,I'm not taking on debt while we hurtle towards a recession/depression. The state government is offering nothing to sole traders. All I'm eligible for is JobKeeper assistance and that doesn't cover my outgoings.,,Got two months reduction. Building manager making any further relief dependent on signing a new lease,NA,Don't pay this tax,Have received,Sole traders aren't eligible,Sole traders aren't eligible,Didn't know there was anything,Not taking debt,,No,No,No,No,Yes,No,No,No,No,No,No,,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Not sure,A clear distinction between health and personal services. There was a lot of confusion as to who could practice and when. Protection of title so that health services aren't confused with run and tug joints,Yes,"Loss of income / employment,Worrying about the security of my job ,Increased drug or alcohol use,Stress from working from home,Concern about lack of support for managing strata communities in the pandemic and in recovery,Has once again reminded me that there are way too many stupid people in this world",No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,Yes,,Longer,Longer,,,,,,Longer,Longer,Longer,Very important,Very important,Very important,Very important,,Very important,Not very important,,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,,Hopefully people will have realised how nice it is when it's not hard work just going to the shops and will campaign for stopping population growth,"You can already see that disparity between the rich and poor has grown in a couple of months. Those with ""nice"" white collar jobs could work from home while anyone in anything related to service lost their income.",40-49,Male,No,No,Homebush West,Unit/apartment in a 1-3 storey block,Paying it off / mortgaged,No,,
749,799,20/05/2020,No,Yes,No,No,No,No,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Loss of income / employment,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,No,No,No,No,No,,1-3 months,1-3 months,,,,,,1-3 months,1-3 months,1-3 months,Important,Important,Very important,Very important,,Important,Very important,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,
750,800,20/05/2020,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,
751,401,19/05/2020,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,
752,402,19/05/2020,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,
753,403,19/05/2020,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,
754,404,19/05/2020,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,
755,405,19/05/2020,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,
756,406,19/05/2020,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,
757,407,19/05/2020,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,
758,408,19/05/2020,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,
759,409,19/05/2020,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,"Worrying about the security of my job ,Social isolation and feeling lonely ,Worrying about people who are important to me,Not being able to do activities that are important to me,Physical health concerns",No,No,No,No,No,No,No,No,No,,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,,Yes,Yes,Yes,No,No,No,,4-6 months,4-6 months,,,,,,4-6 months,4-6 months,,Important,Very important,Important,Very important,,Somewhat important,Important,,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,,Improved local community connections,"Increased social isolation, loss of important arts and cultural institutions and businesses, failure to observe social distancing resulting in another wave of the epidemic",60-69,Female,No,No,2030,Unit/apartment in a 1-3 storey block,Outright owner,No,,
760,410,19/05/2020,No,No,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Stress caused by living and working in close proximity to others,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,
761,411,19/05/2020,Yes,Yes,No,No,No,No,2000,Incorporated for-profit,Rail Project Management business,No,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,
